year-month,cyberpunk 2077
2012-10,1
2012-11,<1
2012-12,<1
2013-01,14
2013-02,3
2013-03,3
2013-04,2
2013-05,2
2013-06,2
2013-07,2
2013-08,2
2013-09,2
2013-10,2
2013-11,2
2013-12,2
2014-01,2
2014-02,2
2014-03,2
2014-04,1
2014-05,2
2014-06,2
2014-07,2
2014-08,2
2014-09,2
2014-10,2
2014-11,2
2014-12,2
2015-01,2
2015-02,2
2015-03,2
2015-04,2
2015-05,3
2015-06,3
2015-07,2
2015-08,2
2015-09,2
2015-10,4
2015-11,2
2015-12,4
2016-01,2
2016-02,2
2016-03,3
2016-04,2
2016-05,3
2016-06,3
2016-07,2
2016-08,2
2016-09,3
2016-10,2
2016-11,3
2016-12,3
2017-01,3
2017-02,3
2017-03,4
2017-04,4
2017-05,3
2017-06,4
2017-07,3
2017-08,3
2017-09,3
2017-10,3
2017-11,5
2017-12,3
2018-01,6
2018-02,6
2018-03,5
2018-04,5
2018-05,5
2018-06,51
2018-07,10
2018-08,36
2018-09,23
2018-10,14
2018-11,13
2018-12,12
2019-01,15
2019-02,14
2019-03,15
2019-04,14
2019-05,14
2019-06,100
2019-07,27
2019-08,30
2019-09,25
2019-10,17
2019-11,19
2019-12,23
2020-01,33
2020-02,22
2020-03,21
2020-04,30
2020-05,49
